Url,Pays,Etat,Province,Ville,Nom,Adresse,Postal,Téléphone,Email,Site,GPS
https://fre.cityhallworldwide.com/mairie-en-autriche/rathaus-wolfsberg-i105212/,Autriche,Carinthie,Politischer bezirk wolfsberg,Wolfsberg,rathaus wolfsberg,"rathausplatz, rathauspl. 1, 9400 wolfsberg, austria",9400,Information non disponible,Information non disponible,Information non disponible,"46.84017, 14.84409"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-sittersdorf-i105349/,Autriche,Carinthie,Politischer bezirk völkermarkt,Sittersdorf,gemeinde sittersdorf,"sittersdorf 100a, 9133 sittersdorf, austria",9133,04237 2020,Information non disponible,http://www.sittersdorf.at/,"46.547, 14.60268"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-wernberg-i105231/,Autriche,Carinthie,Politischer bezirk villach land,Wernberg,gemeinde wernberg,"bundesstraße 11, 9241 wernberg, austria",9241,Information non disponible,Information non disponible,http://www.wernberg.gv.at/,"46.62369, 13.93816"
https://fre.cityhallworldwide.com/mairie-en-autriche/team-stronach-fur-karnten-i105322/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Spittal an der drau,team stronach für kärnten,"neuer pl. 1, 9800 spittal an der drau, austria",9800,04762 90915,Information non disponible,http://www.teamstronach.at/,"46.79879, 13.49593"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-kappel-am-krappfeld-i105601/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Kappel am krappfeld,gemeindeamt kappel am krappfeld,"alois knafl-straße, 9321 kappel am krappfeld, austria",9321,04262 26290,Information non disponible,Information non disponible,"46.83925, 14.48368"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-schiefling-am-see-i105386/,Autriche,Carinthie,Politischer bezirk klagenfurt land,Schiefling am see,gemeinde schiefling am see,"auen-bergweg 175, 9220 velden am wörthersee, austria",9220,04274 2275,Information non disponible,http://www.oevp-schiefling.at/vereine.html,"46.61666, 14.09291"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-kirchbach-i105593/,Autriche,Carinthie,Politischer bezirk hermagor,Kirchbach,marktgemeinde kirchbach,"kirchbach 155, 9632 kirchbach, austria",9632,Information non disponible,Information non disponible,Information non disponible,"46.64076, 13.18804"
https://fre.cityhallworldwide.com/mairie-en-autriche/magistrat-villach-i105272/,Autriche,Carinthie,Villach stadt,Villach,magistrat villach,"rathauspl. 1, 9500 villach, austria",9500,04242 2050,Information non disponible,http://www.villach.at/,"46.61277, 13.84659"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-steinbrunn-i105324/,Autriche,Burgenland,Politischer bezirk eisenstadt,Steinbrunn,gemeindeamt steinbrunn,"obere hauptstraße 1, 7035 steinbrunn, austria",7035,02688 72212,Information non disponible,http://www.steinbrunn.at/,"47.83709, 16.4137"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-markt-piesting-i105533/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Markt piesting,gemeinde markt piesting,"marktpl. 1, 2753 markt piesting, austria",2753,02633 42241,Information non disponible,http://www.piesting.at/,"47.87309, 16.12881"
