name,habitat,historical_period,size_weight,characterstics,image_url
Probably the most instantly recognizable of all dinosaurs is the North American,at bay. This dinosaur is from the,gets lots of attention at New York City's American Museum of Natural History—you can see the evidence of an injury from perhaps a fight with another,", kids of all ages still can't wait to see the museum's beloved Hatcher, a favorite",meal.,https://www.thoughtco.com/thmb/saIr8_fy19y3AVIfBSAbzX6tt_c=/2071x1447/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-165564463-0fbc3a48855b4c0d9548add9045df1e2.jpg
,,Woodlands of southern Asia,,,https://www.thoughtco.com/thmb/EvJ_oOYFkJumcfMJFnrbrvDlL0U=/2823x1028/filters:no_upscale():max_bytes(150000):strip_icc()/alwalkeriaWC-56a254d03df78cf772747ebf.jpg
,,Swamps of North America,,,https://www.thoughtco.com/thmb/8GUzHO9S5nFIycCqTY_o2PpRulQ=/700x345/filters:no_upscale():max_bytes(150000):strip_icc()/herrerasaurus-56a253ea3df78cf77274788d.jpg
,,Woodlands of North America,,,https://www.thoughtco.com/thmb/EIDK39Any2S4X3kJdql0QZAhn8Q=/800x347/filters:no_upscale():max_bytes(150000):strip_icc()/coelurusNT-56a252eb3df78cf772746ca2.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/G1ZB6bKM0HuPbhPWVzVmyKB0TXQ=/1500x1184/filters:no_upscale():max_bytes(150000):strip_icc()/condorraptorWC-57bb69ec5f9b58cdfd3b8c23.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/9uyn1JRLd-n1Qlc3sVjHirxrf-U=/491x336/filters:no_upscale():max_bytes(150000):strip_icc()/daemonosaurusJM-56a254233df78cf772747a2a.jpg
,,Woodlands of Africa,,,https://www.thoughtco.com/thmb/HxifvX-FXpjUOtoDr5DsD-MtK0s=/800x600/filters:no_upscale():max_bytes(150000):strip_icc()/elaphrosaurusWC-56a252eb3df78cf772746c9d.jpg
,,Woodlands of southern Africa,,,https://www.thoughtco.com/thmb/A6LmWnJA5JzAWXTH_TlTdSUadxY=/800x400/filters:no_upscale():max_bytes(150000):strip_icc()/eocursorNT-56a253353df78cf772747111.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/3kHR8zFIwkZaRsiEnjjFgvng_Vc=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/eodromaeusNT-56a2556c3df78cf7727480a2.jpg
,—yet more evidence for the distribution of continents during the early Cretaceous period.,"in the theropod family tree has been a matter of some controversy. At various times, paleontologists have linked this dinosaur to putative descendants as diverse as",",",". The situation is complicated by the fact that, to date,",https://www.thoughtco.com/thmb/6wNDZ-T9nefUQKPZ7py61MYbrow=/1200x800/filters:no_upscale():max_bytes(150000):strip_icc()/afrovenatorWC-58b9a74b3df78c353c17f860.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/PYhrOXSXEjiQWWZqnL441RSn5po=/800x668/filters:no_upscale():max_bytes(150000):strip_icc()/guaibasaurusNT-56a254bf5f9b58b7d0c91e52.jpg
,,Woodlands of Europe,,,https://www.thoughtco.com/thmb/76ZYQn983qbQp_QD6lGIVwdlgPY=/500x375/filters:no_upscale():max_bytes(150000):strip_icc()/liliensternusNT-56a254db5f9b58b7d0c91f0b.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/wUM1qowS1LUBi6o8rpj6dBSOj2E=/460x228/filters:no_upscale():max_bytes(150000):strip_icc()/pampadromaeusWC-56a254373df78cf772747ad6.jpg
,,Woodlands of eastern North America,,,https://www.thoughtco.com/thmb/2Azq_0EvBE-P_8eRL9BxSCAZJps=/800x408/filters:no_upscale():max_bytes(150000):strip_icc()/podokesaurusWC-56a254295f9b58b7d0c91abe.jpg
,,Plains of Western Europe,,,https://www.thoughtco.com/thmb/SKaMwmR6T315G4KPyEe7kjLsx0k=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/proceratosaurusNT-56a255903df78cf772748112.jpg
,,Swamps of western Europe,,,https://www.thoughtco.com/thmb/eTnnd4m-qqFyNGEtac2jt3g5jqQ=/469x363/filters:no_upscale():max_bytes(150000):strip_icc()/saltopusGE-56a253c85f9b58b7d0c9177a.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/R6fwOliLWFHzhD7bLQjLaD-5mhQ=/640x324/filters:no_upscale():max_bytes(150000):strip_icc()/sanjuansaurusNT-56a255913df78cf772748118.jpg
,,Woodlands of North America,,,https://www.thoughtco.com/thmb/Mb5XG9G27MTOZFrf_UQuwu0Jwo8=/800x423/filters:no_upscale():max_bytes(150000):strip_icc()/segisaurus-56a253765f9b58b7d0c9149c.jpg
The euphoniously named,). What we do know from these long-gone hipbones is that,-like sizes and weights of 6 or 7 tons. As to the evolutionary lineage of,", it may have been a true",. We'll probably never know without additional fossil discoveries.,https://www.thoughtco.com/thmb/soQ-DqQ18P1PeadTlE4MnYW7gA0=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/bahariasaurusNT-58b9c7033df78c353c36ce0b.jpg
Just how confident was the famous paleontologist,"in the early 1990s? Well, he dubbed this presumed new species of large theropod",". The trouble is, most paleontologists believe that",was actually in the genus,"(35 feet long and 2-3 tons) was clearly an apex predator of late Jurassic North America, and one of the scariest predatory dinosaurs until the advent of full-sized tyrannosaurs",https://www.thoughtco.com/thmb/5RlN7PYw9tNyrLVbDkDMvdtVJQY=/2061x1455/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-495836315-0140c6a421e64e549caada4f68e60361.jpg
Here's a quick Japanese lesson: The enormous monster we know as Godzilla bears the Japanese name,and gorilla,"(the bones of which were dug up in North America) grew up as a die-hard fan of the ""Godzilla"" movies.","(18 feet long and 500 pounds) was far from the biggest dinosaur that ever lived, though it did attain a respectable size for its time. It may have been one of the biggest","period. So far, paleontologists have only found the fossil of a single juvenile, so it's possible that adults of this genus may have been even bigger (though nowhere near as massive as later carnivorous dinosaurs like",https://www.thoughtco.com/thmb/9bRZ2Docx7e8ahfMRa8J1lDrdBU=/2321x1292/filters:no_upscale():max_bytes(150000):strip_icc()/gojirasaurusGE-58b9c6643df78c353c36832b.jpg
,,Forests and scrublands of South America,,,https://www.thoughtco.com/thmb/zpBXG5tQmqow5wdrQUFxO-1X71Q=/767x511/filters:no_upscale():max_bytes(150000):strip_icc()/staurikosaurus-56a252b53df78cf772746963.jpg
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/_-6A_77nXNQMtsV0_bHDg4p5K2Q=/640x366/filters:no_upscale():max_bytes(150000):strip_icc()/tachiraptorML-56a256303df78cf772748a5f.jpg
,,Woodlands of North America,,,https://www.thoughtco.com/thmb/g7vFjprl4FmdWUkK1gd2XYk4Af0=/800x600/filters:no_upscale():max_bytes(150000):strip_icc()/tanycolagreus-56a2537d3df78cf7727474d0.JPG
,,Woodlands of South America,,,https://www.thoughtco.com/thmb/L0dMUEKudfXw8NgC6okeXowAoMc=/700x378/filters:no_upscale():max_bytes(150000):strip_icc()/zupaysaurus-56a253f65f9b58b7d0c91953.jpg
"One of the few large theropods to be discovered in Portugal,",",",". This late Jurassic predator is noteworthy for two reasons: First, scientists have identified","clearly swallowed on purpose rather than ingesting by accident when eating herbivorous dinosaurs. And second, a clutch of about 100",", some containing fossilized embryos, have been found close to the original excavation site.",https://www.thoughtco.com/thmb/CsyaQfDU3T8EzL3b1ZtcaH0btAs=/3168x2240/filters:no_upscale():max_bytes(150000):strip_icc()/Lourinhanosaurus_antunesi-a688d112e24c4a29bc323979e4857292.jpg
"Sometimes, the name a dinosaur is given is inversely proportional to how much we know about it. The impressively named","Fortunately for the paleontologists who examined this remnant—which was originally in the possession of an unidentified Moroccan fossil dealer—this bit of a theropod dinosaur's skull is very characteristic, especially since these meat-eating dinosaurs weren't exactly thick on the ground in late Cretaceous northern Africa. Clearly, the fossil belonged to a dinosaur closely related to the well-known",.,"truly the ""Lord of the Dinosaurs""? Well, this theropod was clearly a good match for",males head-butted each other for dominance in the pack.,https://www.thoughtco.com/thmb/H2OvUjhXEDBnAXNvi5n42b8WiVo=/1804x987/filters:no_upscale():max_bytes(150000):strip_icc()/Reconstruction_of_a_Sauroniops-c15708d1d80a41a2b5136aedd8e79898.jpg
Don't believe what you read in the popular press about,"The fact is that this North American theropod lived tens of millions of years before its more famous cousin. It wasn't a tyrannosaur at all, but a type of large theropod known as a carcharodontosaur (and thus closely related to",). Until the announcement of,", itself no slouch in the terrorizing-smaller-dinosaurs department.","such big news is, well, how big it was. This theropod measured well over 30 feet from head to tail and weighed in the neighborhood of 4 tons, which would make it the third-largest meat-eating dinosaur from North America after",https://www.thoughtco.com/thmb/HGn2vf3NDj5BcyNyRzXxOR3x0Eg=/663x500/filters:no_upscale():max_bytes(150000):strip_icc()/siatsJG-58b9c5c93df78c353c364297.jpg
Sergey Krasovskiy/Stocktrek Images/Getty Images,,,Woodlands of Asia,,
"Considering how many dinosaurs have been discovered in China, you might think a definitive name like","was discovered in 1948, well before the golden age of Chinese paleontology, and this dinosaur was regarded for the next few decades as a",as a species of the North American,That was how matters stood until 1993 when the famous Chinese paleontologist Dong Zhiming determined that,"was summoned back into usage. Oddly enough, it turns out that",https://www.thoughtco.com/thmb/PVthB8JwpNQFH7HKKEGO255Hk3o=/800x599/filters:no_upscale():max_bytes(150000):strip_icc()/sinosaurusWC-58b9c5bf3df78c353c363e3c.JPG
The name,"wasn't a true raptor, a quick, fierce family of carnivorous dinosaurs that didn't arrive on the prehistoric scene until tens of millions of years later. Rather,",and,"Based on when it lived, paleontologists have concluded that",tooth marks.),https://www.thoughtco.com/thmb/GDQ5wutc7SgbXvN8witHYF3mKzw=/800x600/filters:no_upscale():max_bytes(150000):strip_icc()/sinraptor-58b9c5bb3df78c353c363c04.jpg
"As is the case with many other large theropods, it isn't yet widely accepted that","or some other existing genus of carnivorous dinosaur. Whatever the case,",(if it wasn't actually an,probably feasted on the babies and juveniles of gigantic sauropods and smaller ornithopods. (Note: This dinosaur shouldn't be confused with the similar-sounding and comparably sized,Paleontologists have discovered a new species of,https://www.thoughtco.com/thmb/5T-hYNY-2aqh9IYvVwJ6ed56U0I=/3456x2304/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-149696818-736ad72bf6f74573a1af0efb8dec0572.jpg
,"Angulomastacator (Greek for ""bent chewer""); pronounced ANG-you-low-MASS-tah-kay-tore",,,Late Cretaceous (80-70 million years ago),https://www.thoughtco.com/thmb/i-ZnJzW4AhGFvXiZswyAxEDPCAY=/2420x1034/filters:no_upscale():max_bytes(150000):strip_icc()/Lambeosaurus_laticaudus-5c53b00846e0fb0001be6350.jpg
,,,Woodlands of Central Asia,,https://www.thoughtco.com/thmb/rh6Oyg6q_NYI8krYr7zBpqavcgA=/2000x1500/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-506837087-5c53b08ac9e77c000102bae4.jpg
,"Bactrosaurus (Greek for ""staff lizard""); pronounced BACK-tro-SORE-us",,,Late Cretaceous (95-85 million years ago),https://www.thoughtco.com/thmb/NpG6DrkXOcwrpfxvQVl74Z3IA7I=/800x600/filters:no_upscale():max_bytes(150000):strip_icc()/bactrosaurusWC-5735e6035f9b58723db08fcd.JPG
,Barsboldia (after paleontologist Rinchen Barsbold); pronounced barz-BOLD-ee-ah,,,Late Cretaceous (70 million years ago),https://www.thoughtco.com/thmb/qP2Qi_9Ool0wfDgZmlzGTiI9z7Q=/1198x524/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Barsboldia_sicinskii_2-5c53b26246e0fb00013a1f94.jpg
,"Batyrosaurus (Greek for ""Batyr lizard""); pronounced bah-TIE-roe-SORE-us",,,Late Cretaceous (85-75 million years ago),https://www.thoughtco.com/thmb/ZURyZePPkmmH2CtLjwOTSh8lM7g=/600x450/filters:no_upscale():max_bytes(150000):strip_icc()/batyrosaurusNT-58b9c2dc3df78c353c330fca.jpg
,"Charonosaurus (Greek for ""Charon lizard""); pronounced cah-ROAN-oh-SORE-us",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/udOjDKsfMtrLGcXMdGK5AkH1ayA=/2000x1500/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-506837143-5c53b3edc9e77c0001599b34.jpg
,"Claosaurus (Greek for ""broken lizard""); pronounced CLAY-oh-SORE-us",,,Late Cretaceous (80-70 million years ago),https://www.thoughtco.com/thmb/rdGVF4-GXN6qVrmIFXQ6StOppYk=/1992x1538/filters:no_upscale():max_bytes(150000):strip_icc()/claosaurusWC1-56a257685f9b58b7d0c92e3e.jpg
,"Eolambia (Greek for ""Lambe's dawn"" dinosaur); pronounced EE-oh-LAM-bee-ah",,,Middle Cretaceous (100-95 million years ago),https://www.thoughtco.com/thmb/KXDd6Uao7VnK3v1Xq7H2FxyevbA=/2007x1268/filters:no_upscale():max_bytes(150000):strip_icc()/eolambiaWC-58b9b32b5f9b58af5c9b4367.png
,"Equijubus (Greek for ""horse mane""); pronounced ECK-wih-JOO-bus",,,Early Cretaceous (110 million years ago),https://www.thoughtco.com/thmb/tn8yRkqGLlBgYpURBH-0404P-y8=/1024x704/filters:no_upscale():max_bytes(150000):strip_icc()/2044832000_b54f17895b_o-5c5479dfc9e77c0001329788.jpg
,"Gilmoreosaurus (Greek for ""Gilmore's lizard""); pronounced GILL-more-oh-SORE-us",,,Late Cretaceous (75-70 million years ago),https://www.thoughtco.com/thmb/9wVDDYHarIQq76uGypacX28xnok=/800x533/filters:no_upscale():max_bytes(150000):strip_icc()/gilmoreosaurusWC-56a255745f9b58b7d0c920ad.jpg
Michele Dessi/Stocktrek Images/Getty Images,,,Woodlands of eastern Asia,,https://www.thoughtco.com/thmb/3ZM0b417xnUOGH9pbeasohV6Xc8=/2190x1369/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-168839293-5c547c7446e0fb0001be657c.jpg
,"Huehuecanauhtlus (Aztec for ""ancient duck""); pronounced WAY-way-can-OUT-luss",,,Late Cretaceous (85 million years ago),https://www.thoughtco.com/thmb/BSRTaIYYXYtASie2fDazmFJOqjE=/1024x499/filters:no_upscale():max_bytes(150000):strip_icc()/1024px-Huehuecanauhtlus_tiquichensis_copia-5c4b8a0046e0fb000167c63c.jpg
,,"Hypsibema (Greek for ""high stepper""); pronounced HIP-sih-BEE-mah",,,https://www.thoughtco.com/thmb/3bXY8VUlP8l8SKQhUspKW65EFug=/1024x702/filters:no_upscale():max_bytes(150000):strip_icc()/756629428_9118cf8ccf_b-5c54805346e0fb00013fadeb.jpg
DE AGOSTINI PICTURE LIBRARY/Getty Images,,,Woodlands of central Asia,,https://www.thoughtco.com/thmb/wjOChsrAKcHPTjUqwNE_gif2ny8=/1094x826/filters:no_upscale():max_bytes(150000):strip_icc()/Jax-5c54833046e0fb000152e703.jpg
,,,Woodlands of Asia,,https://www.thoughtco.com/thmb/hpcBr8B4g2pN4bPl-kIGdZzrvlA=/1024x558/filters:no_upscale():max_bytes(150000):strip_icc()/Jinzhousaurus_yangi-5c54841146e0fb00018200ae.JPG
,"Kazaklambia (""Kazakh lambeosaur""); pronounced KAH-zock-LAM-bee-ah",,,Late Cretaceous (85 million years ago),https://www.thoughtco.com/thmb/jZhvKQpmQPTXTItu-Kki_8A49j4=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/lambeosaurusNT-58b9c2893df78c353c32e4d8.jpg
,"Kerberosaurus (Greek for ""Cerberus lizard""); pronounced CUR-burr-oh-SORE-us",,,Late Cretaceous (65 million years ago),https://www.thoughtco.com/thmb/ed4ooPBKtsEj4ldZ33-bSKLilog=/640x484/filters:no_upscale():max_bytes(150000):strip_icc()/kerberosaurusAA-58b9c2853df78c353c32e2c0.jpg
,,,Woodlands of North America,,https://www.thoughtco.com/thmb/S9Fvge-pvbVVIaC1Zy0IX80x3Wc=/800x526/filters:no_upscale():max_bytes(150000):strip_icc()/kritosaurusNT-56a252f93df78cf772746d6e.jpg
,"Kundurosaurus (Greek for ""Kundur lizard""); pronounced KUN-door-roe-SORE-us",,,Late Cretaceous (65 million years ago),https://www.thoughtco.com/thmb/dZlONyR3H_VBjPTvpCJIMysGm_E=/1783x1383/filters:no_upscale():max_bytes(150000):strip_icc()/Kundurosaurus.tif-5c548b6246e0fb00013a21bb.jpg
,"Latirhinus (Greek for ""broad nose""); pronounced LA-tih-RYE-nuss",,,Late Cretaceous (75-70 million years ago),https://www.thoughtco.com/thmb/KvIqlKlnaYshFWlpCuADszq0VA4=/1200x900/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Museo_del_Desierto_de_Saltillo_-_panoramio_10-5c548c344cedfd0001efdb2f.jpg
,,Woodlands of North America,,,https://www.thoughtco.com/thmb/E0q-lR6_Vn__ATF7BPh7ErpIHi0=/1024x768/filters:no_upscale():max_bytes(150000):strip_icc()/3582937628_214926ce2c_b-5c548cdf46e0fb00013a21bd.jpg
,"Magnapaulia (Latin for ""big Paul,"" after Paul G. Hagga, Jr.); pronounced MAG-nah-PAUL-ee-ah",,,Late Cretaceous (75 million years ago),https://www.thoughtco.com/thmb/91a4qAAnJFP_2umiPtT4AnouXvk=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Magnapaulia-5903ace45f9b5810dc4ddb79.jpg
,"Nipponosaurus (Greek for ""Japan lizard""); pronounced nih-PON-oh-SORE-us",,,Late Cretaceous (90-85 million years ago),https://www.thoughtco.com/thmb/z9yymNUua4W2_7baw7CAi_mhd_c=/1024x683/filters:no_upscale():max_bytes(150000):strip_icc()/nipponosaurusWC-58b5c1d03df78cdcd8b9cd01.jpg
,"Orthomerus (Greek for ""straight femur""); pronounced OR-thoh-MARE-us",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/39DjwA5Ta8CqAZUirsXi5opXmB0=/800x600/filters:no_upscale():max_bytes(150000):strip_icc()/orthomerusWC-56a256203df78cf77274899d.JPG
,"Pararhabdodon (Greek for ""like Rhabdodon""); pronounced PAH-rah-RAB-doe-don",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/Tv1M-LOQxDPMyzqnDA1Y9z4aVfI=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/pararhabdodonWC-56a256225f9b58b7d0c929c8.jpg
,"Probactrosaurus (Greek for ""before Bactrosaurus""); pronounced PRO-back-tro-SORE-us",,,Early Cretaceous (110-100 million years ago),https://www.thoughtco.com/thmb/DGgeqqSc96Jfj-rVWF_yEIkZGpw=/1200x900/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Dinosaurium_Probactrosaurus_gobiensis_2-5c54906846e0fb000152e712.jpg
