url,marque,id_variante,designation,descriptif,code_article,reference,sku,prix_promo_unit,prix_ref_unit,prom_qty,prom_prc
https://www.henryschein.fr/fr-fr/corporate/p/anesthesie-pharmacie/sprays-de-refroidissement/endo-frost-roeko-spray-de-200ml/878-0548?promocode=8&FullPageMode=true,ROEKO,878-0548,Endo Frost ROEKO - Spray de 200ml,Spray de refroidissement &agrave; -50&deg;C pour givrer les pellets ou les rouleaux salivaires. Test de vitalit&eacute; pulpaire. Avec canule de prolongation pour vaporisation pr&eacute;cise. Sans odeur et sans CFC.,240000,878-0548,878-0548, ,10.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/vetements-accessoires/mixte/tunique-monaco-selekto-anis-taille-xxxl/890-3312?promocode=2&FullPageMode=true,RNB EVASION,890-3312,Tunique Monaco SELEKTO - Anis - Taille XXXL,Tunique mixte/ col &ldquo;Mao&ldquo;/ une poche poitrine/ deux poches lat&eacute;rales d&eacute;coup&eacute;es/ boutonnage pression. / Long. dos : 80 cm / 65% polyester / 35% coton,.,890-3312,890-3312, ,72.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/usage-unique/tabliers-bavoirs/tabliers-slab-contour-henry-schein-vert-lot-de-400/100-6332?promocode=2&FullPageMode=true,HENRY SCHEIN,100-6332,Tabliers SLAB Contour HENRY SCHEIN - Vert - Lot de 400,Serviettes en papier plastifi&eacute;es r&eacute;sistantes/ imperm&eacute;ables./ 2 &eacute;paisseurs : 1 plastique/ 1 papier/ Grandes dimensions pour une protection efficace,100-6332,100-6332,100-6332, ,62.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/radio/revelateurs-fixateurs/revelateur-velopex-lot-de-2-x-5l/801-8214?promocode=4&FullPageMode=true,MEDIVANCE INST.(VELOPEX),801-8214,Révélateur VELOPEX - Lot de 2 x 5L,Produits chimiques pr&ecirc;ts &agrave; l'emploi pour le d&eacute;veloppement en machine des films dentaires et panoramiques.,C/DER3001F,801-8214,801-8214, ,61.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/petits-patients/usage-unique/bavoir-enfant-zooby-boite-de-100/897-0099?promocode=9&FullPageMode=true,YOUNG (Brand),897-0099,Bavoir enfant ZOOBY - Boîte de 100,Chaque bavoir pr&eacute;sente un des cinq motifs d&rsquo;animaux et se transforme ainsi en costume pour vos petits patients. Parions qu&rsquo;ils vont adorer ! &bull; Imperm&eacute;able &agrave; l&rsquo;eau &bull; Taille adapt&eacute;e aux enfants (24 x 23 cm) &bull; Cinq motifs d&rsquo;animaux amusants de Zooby: Pen&eacute;lope - le pingouin/ Zo&eacute; - le z&egrave;bre/ Francesca - le flamant rose/ Chase - le l&eacute;opard et Talon - le tigre,295200,897-0099,897-0099, ,18.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/petit-equipement/visualisation-avancee/loupe-eyemag-smart-sans-monture-2-5x-450-zeiss/895-5429?promocode=9&FullPageMode=true,ZEISS MEDITECH,895-5429,Loupe Eyemag Smart sans monture 2/5X / 450 ZEISS,Percevoir des structures anatomiques minuscules n&rsquo;est possible qu&rsquo;avec un grossissement correct et une optique de haute qualit&eacute;. Les loupes EyeMag&reg; offrent des performances optiques de qualit&eacute; d&egrave;s la premi&egrave;re utilisation. Elles permettent d&rsquo;accomplir des traitements et des soins efficaces. &Eacute;quip&eacute;s d&rsquo;un &eacute;clairage &agrave; diodes &eacute;lectroluminescentes (LED)/ ces instruments offrent une nettet&eacute; d&rsquo;image et une profondeur de champ couvrant toute la zone &agrave; traiter. Maniables et agr&eacute;ables &agrave; porter/ elles allient l&rsquo;&eacute;l&eacute;gance &agrave; une conception fonctionnelle dans une large plage de distances de travail et de facteurs de grossissement. Grossissement 2/5x : Large champ de vision/ Grande profondeur de champ. Pour une premi&egrave;re utilisation: Syst&egrave;me Galil&eacute;e/ Lentille oculaire et objectif/ L&eacute;ger/ Compact. Confortable &agrave; porter: Poids : 85g.,304112-9904-000,895-5429,895-5429, ,1716.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-de-bein-henry-schein-droit-gauche/900-6722?promocode=2&FullPageMode=true,HENRY SCHEIN,900-6722,Elévateur de Bein HENRY SCHEIN - Droit - Gauche,El&eacute;vateurs Bein droits 3 mm,9006722,900-6722,900-6722, ,47.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-de-bein-henry-schein-droit-droite/900-6801?promocode=1&FullPageMode=true,HENRY SCHEIN,900-6801,Elévateur de Bein HENRY SCHEIN - Droit - Droite,El&eacute;vateurs Bein droits 3 mm,9006801,900-6801,900-6801, ,47.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-de-bein-cybertech-rond-4mm/900-3420?promocode=0&FullPageMode=true,CYBERTECH,900-3420,Elévateur de Bein CYBERTECH - Rond 4mm,&Eacute;l&eacute;vateurs de Bein 4 mm.,C9003420,900-3420,900-3420, ,25.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-de-bein-cybertech-rond-3mm/900-3419?promocode=9&FullPageMode=true,CYBERTECH,900-3419,Elévateur de Bein CYBERTECH - Rond 3mm,&Eacute;l&eacute;vateurs de Bein 3 mm.,C9003419,900-3419,900-3419, ,25.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-de-bein-cybertech-rond-2mm/900-3418?promocode=8&FullPageMode=true,CYBERTECH,900-3418,Elévateur de Bein CYBERTECH - Rond 2mm,&Eacute;l&eacute;vateurs de Bein 2 mm.,C9003418,900-3418,900-3418, ,25.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-cryer-cybertech-gauche-n-30/900-3414?promocode=4&FullPageMode=true,CYBERTECH,900-3414,Elévateur Cryer CYBERTECH - Gauche n°30,&Eacute;l&eacute;vateurs Cryer Gauche n&deg;30,C9003414,900-3414,900-3414, ,31.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-cryer-cybertech-droit-n-31/900-3415?promocode=5&FullPageMode=true,CYBERTECH,900-3415,Elévateur Cryer CYBERTECH - Droit n°31,&Eacute;l&eacute;vateurs Cryer Droit n&deg;31.,C9003415,900-3415,900-3415, ,31.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-apical-cybertech-n-303/900-3417?promocode=7&FullPageMode=true,CYBERTECH,900-3417,Elévateur apical CYBERTECH - n° 303,&Eacute;l&eacute;vateurs Apicaux N&deg;303.,C9003417,900-3417,900-3417, ,31.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-apical-cybertech-n-302/900-3416?promocode=6&FullPageMode=true,CYBERTECH,900-3416,Elévateur apical CYBERTECH - n° 302,&Eacute;l&eacute;vateurs Apicaux N&deg;302,C9003416,900-3416,900-3416, ,31.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-acteon-manche-leger-n-78/878-1432?promocode=2&FullPageMode=true,PRODONT-HOLLIGER,878-1432,Elévateur ACTEON - Manche léger n°78,De formes concaves et ac&eacute;r&eacute;es. Pour extraire des petits morceaux de racinesau niveau apical.,15678,878-1432,878-1432, ,81.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-acteon-manche-leger-n-77/878-1431?promocode=1&FullPageMode=true,PRODONT-HOLLIGER,878-1431,Elévateur ACTEON - Manche léger n°77,De formes concaves et ac&eacute;r&eacute;es. Pour extraire des petits morceaux de racinesau niveau apical.,15677,878-1431,878-1431, ,81.99, , 
