url,marque,id_variante,designation,reference,descriptif,prix_promo_unit,ref_price_unit,qty_dgrsf_1,qty_dgrsf_2,prix_prom_dgrsf_1,prix_prom_dgrsf_2
https://www.megadental.fr/crochets-chirurgicaux-masel-stops-ouverts-018-x-025-lot-de-10-950-5498.html,masel,13770,Crochets chirurgicaux MASEL - Stops ouverts -018 x 025 - Lot de 10,7610-172,Crochets à boule sur stops ouverts  à sertir.Avantages :• Ils peuvent être pliés dans toutes les directions et restent fermement en place une fois installés.• Conviennent aux fils ronds ou rectangulaires jusqu'à 0.018 x 0.025Caractéristiques techniques : • Conditionnement de vente : sachet de 10 • Code article fournisseur : 4045-318,29,33,1,5,33,29
https://www.megadental.fr/3m-coussin-thermique-nexcare-coldhot-mini-951-3470.html,3m,10778,3M COUSSIN THERMIQUE NEXCARE COLDHOT MINI,5692-173,,8,8.7,1,6,8.7,8
https://www.megadental.fr/a-silicone-hp-bite-2-x-50ml-----dental-excellence-979-0874.html,dental-excellence,2653,A SILICONE HP BITE 2 X 50ML                   (Dental excellence),2096-191,Grâce à ce silicone dentaire à base de vinylpolysiloxane par addition  prenez facilement les empreintes dentaires de vos patients  avec une base et un catalyseur mélangeables instantanément ! Le silicone Dental Express reproduit fidèlement les empreintes de par l'adjonction de matériau Light à faible viscosité et un temps de séchage efficace.Avantages :• Silicone pour l’enregistrement de l’occlusion• Prise normale en 2 minutes• Excellente dureté finale• Ne coule pas• Grande stabilité dimensionnelle• ThixotropeCaractéristiques Techniques :• Conditionnement : boîte de 2 cartouches de 50 ml• Dispositif médical de classe I,26.45,45,1,3,34.9,26.45
https://www.megadental.fr/alginate-color-sachet-500g-dental-excellence-979-0128.html,dental-excellence,3362,ALGINATE COLOR SACHET 500G (Dental excellence),2340-191,Alginate classe A type 1 (prise rapide) sans poussière. Chaque étapes est indiquée par le changement de couleur: violet->rose ->blanc.ce matériau est également utilisé en orthodontie.Caractéristiques techniques:• Gout: menthe• Temp de prise en bouche: 1• Temps de travail: 1min• 500 g = 35 empreintes complète  ,6,16.9,1,3,12,6
https://www.megadental.fr/alginate-prise-rapide-453g-dental-excellence-979-6607.html,dental-excellence,39286,Alginate Prise Rapide 453G (DENTAL EXCELLENCE),8829-191,"Avantages :• Haute précision• Grande stabilité• Excellente lecture des détails• Sans poussière pendant le dosage et le mélange• Masse homogène• Surfaces lisses et compacteCaractéristiques techniques:• Temps de mélange : 30 s• Temps de travail : 1 min 10 s• Temps en bouche : 1 min• Temps de prise 2 min 10 s• Classe : A• Type : 1• Couleur : rose• Arome: menthe • Allongement à la compression : 11 7%  • Reprise élastique : 98%  





















• Résistance à la compression : 1 2 MPA.",6,13.5,1,3,12,6
https://www.megadental.fr/alginate-sachet-500g-dental-excellence-979-0025.html,dental-excellence,3019,ALGINATE SACHET 500G  (Dental excellence),2247-191,Avantages :• Haute précision• Grande stabilité• Excellente lecture des détails• Sans poussière pendant le dosage et le mélangeCaractéristiques :• Gout menthe• Temps de prise en bouche: 1 min• Temps de travail: 1 min• Alginate de classe B type 1 pour empreintes (primaires  antagonistes et en orthodontie)• Reste stable pendant 48 heures dans un milieu hermétique• Quantité : sachet de 500 g = 35 empreintes complètes,6,12,1,3,12,6
https://www.megadental.fr/ambar-universal-aps-fgm-988-5140.html,fgm,32778,Ambar universal APS (FGM),7362-100,Adhésif sans BIS-GMA Universal auto-mordançant photopolymérisable.Avantages : • La composition chimique avec un MDP plus réactif favorise l'adhésion et assure une meilleure stabilité de collage• Grâce à son système APS (advanced polymerization system) il bénéficie d'une excellente performance à tous les niveaux  même face à l'humidité variée de la dentine• Il possède un pouvoir adhésif élevé dans toutes les techniques d'application : auto-mordançage total• Il s'adapte à différents types de surfaces : métallique  céramiques  composite  tenons fibrés et minimise la sensibilité post-opératoire• Sa teinte incolore lui offre un rendu esthétique parfait.Il est conseillé pour les applications intra-canalaires grâce a sa grande comptabilité avec les ciments duals et sa polymérisation optimaleCaractéristiques Techniques :• Conditionnement : flacon de 5 ml• DM Classe IIA• Fabricant : Dentscare LtdaIndications :,32.9,68,1,3,36.95,32.9
https://www.megadental.fr/applicateur-fonds-de-cavite-900-3431.html,cybertech,10668,APPLICATEUR FONDS DE CAVITE,5653-122,Instrument en acier inoxydable pour placer l'hydroxide de calcium.Dispositif médical de classe I.Utilisation : se référer à la notice.- Précis- Manche Strié,7.9,8.7,1,3,8.7,7.9
https://www.megadental.fr/automat-xrc-891-2059.html,d-rr-dental,7069,AUTOMAT XR/C,4271-013,Automat XR/C ainsi que Dürr Periomat Intra/C rend le travail plus facile et plus respectueux de l’environnement : absence d’hydrochinone et d’aldéhydes qui sont remplacés par de la vitamine C.Pas de résidus humides.Responsables de la forte pollution des réservoirs et des rouleaux de transport.2 révélateurs + 2 fixateurs ,90.3,105.55,1,3,105.55,90.3
https://www.megadental.fr/bac-de-decontamination-1-litre-951-5903.html,megamaster-by-coxo,18434,BAC DE DECONTAMINATION 1 LITRE,7125-173,Bac de décontamination pour instruments avec panier perforé.,14.95,29.9,1,3,29.9,14.95
