url,marque,id_variante,designation,reference,descriptif,atribute,attribute_value,prix_promo_unit,ref_price_unit,qty_dgrsf_1,qty_dgrsf_2,prix_prom_dgrsf_1,prix_prom_dgrsf_2
https://www.megadental.fr/3m-bloc-melange-empreintes-boite-de-10.html,,34469,3M BLOC MELANGE EMPREINTES BOITE DE 10,,Blocs à spatuler revêtu Avantages :• Facilite le mélange des matériaux Caractéristiques Techniques :• Conditionnement : 10 blocs de 38 ou 10 blocs de 60• Dimensions : 6 x 7.5 cm ou 7 x 8 cm,dimension_taille,87 x 155 mm,81.7,81.7,1,,81.7,
https://www.megadental.fr/3m-bloc-melange-empreintes-boite-de-10.html,,34469,3M BLOC MELANGE EMPREINTES BOITE DE 10,,Blocs à spatuler revêtu Avantages :• Facilite le mélange des matériaux Caractéristiques Techniques :• Conditionnement : 10 blocs de 38 ou 10 blocs de 60• Dimensions : 6 x 7.5 cm ou 7 x 8 cm,dimension_taille,75 x 60 mm,59.9,70.75,1,,59.9,
https://www.megadental.fr/3m-bloc-melange-empreintes-boite-de-10.html,,34469,3M BLOC MELANGE EMPREINTES BOITE DE 10,,Blocs à spatuler revêtu Avantages :• Facilite le mélange des matériaux Caractéristiques Techniques :• Conditionnement : 10 blocs de 38 ou 10 blocs de 60• Dimensions : 6 x 7.5 cm ou 7 x 8 cm,dimension_taille,125 x 240 mm,160.8,160.8,1,,160.8,
https://www.megadental.fr/3m-bloc-melange-empreintes-boite-de-10.html,,34469,3M BLOC MELANGE EMPREINTES BOITE DE 10,,Blocs à spatuler revêtu Avantages :• Facilite le mélange des matériaux Caractéristiques Techniques :• Conditionnement : 10 blocs de 38 ou 10 blocs de 60• Dimensions : 6 x 7.5 cm ou 7 x 8 cm,dimension_taille,125 x 190 mm,92.7,92.7,1,,92.7,
https://www.megadental.fr/3m-bloc-melange-empreintes-boite-de-10.html,,34469,3M BLOC MELANGE EMPREINTES BOITE DE 10,,Blocs à spatuler revêtu Avantages :• Facilite le mélange des matériaux Caractéristiques Techniques :• Conditionnement : 10 blocs de 38 ou 10 blocs de 60• Dimensions : 6 x 7.5 cm ou 7 x 8 cm,dimension_taille,70 x 80 mm,81,99,1,,81,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,,34396,Bac De Décontamination GAMASONIC),,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour,taille,17 LITRES,448.82,448.82,1,,448.82,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,,34396,Bac De Décontamination GAMASONIC),,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour,taille,13 LITRES,348.5,348.5,1,,348.5,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,,34396,Bac De Décontamination GAMASONIC),,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour,taille,27 LITRES,507,507,1,,507,
https://www.megadental.fr/doseur-pompe-bouteille-dental-excellence.html,,35141,DOSEUR POMPE BOUTEILLE (Dental excellence),,,contenance,1 L,7.9,7.9,1,,7.9,
https://www.megadental.fr/doseur-pompe-bouteille-dental-excellence.html,,35141,DOSEUR POMPE BOUTEILLE (Dental excellence),,,contenance,500 ml,7.9,7.9,1,,7.9,
