title,author,price
Python for Everybody: Exploring Data in Python 3,Aimee Andrion,$9.99
Python Programming Language,Berajah Jayne,$7.95
Python Basics: A Practical Introduction to Python 3,"Dan Bader, Joanna Jablonski,  et al.",$39.99
The Greedy Python,Richard Buckley and Eric Carle,$4.99
Python: - The Bible- 3 Manuscripts in 1 book: -Python...,Maurice J. Thompson,$27.97
Python Tricks: A Buffet of Awesome Python Features,Dan Bader,$29.99
Python Pocket Reference: Python in Your Pocket,Mark Lutz,$19.99
Effective Python: 90 Specific Ways to Write Better Python,Brett Slatkin,$49.99
Ball Python (Royal Python),Lance Jepson,$14.99
Python in Easy Steps: Covers Python 3.7,Mike McGrath,$15.99
Coding Projects in Python,DK,$19.99
Python Cookbook: Recipes for Mastering Python 3,David Beazley and Brian K. Jones,$59.99
Python All-In-One for Dummies,Alan Simpson and John C. Shovic,$39.99
"Black Hat Python, 2nd Edition: Python Programming for Hackers...",Justin Seitz and Tim Arnold,$44.99
The Greedy Python,Richard Buckley and Eric Carle,$7.99
A Day in Code- Python: Learn to Code in Python through an...,Shari Eskenas and Ana Quintero Villafraz,$14.99
Deep Learning with Python,François Chollet,$49.99
Bite-Size Python: An Introduction to Python Programming,April Speight,$24.99
The Python Workshop,"Andrew Bird, Lau Cher Han,  et al.",$47.99
Pythons,Martha E. H. Rustad,$29.32
"Alligator vs. Python (Who Would Win?), 12",Jerry Pallotta and Rob Bolster,$4.99
Python for MBAs,Mattan Griffel and Daniel Guetta,$42.00
